類別,子類別,事件名稱,開始日期,結束日期,備註,Link1,Link2,download_timestamp,process_timestamp
財報公告,美股,ASML Holding N.V.(ASML) 2026 Q2 財報,2026-07-15,2026-07-15,ASML Holding N.V. 發布季度財報,https://finance.yahoo.com/quote/ASML/financials/,https://finance.yahoo.com/calendar/earnings?symbol=ASML,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,台達電(2308) 2026 Q2 法說會,2026-07-10,2026-07-10,台達電（2308）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,南亞科(2408) 2026 Q2 財報,2026-07-10,2026-07-10,南亞科 發布季度財報,https://finance.yahoo.com/quote/2408.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2408.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,台達電(2308) 2026 Q2 財報,2026-07-08,2026-07-08,台達電 發布季度財報,https://finance.yahoo.com/quote/2308.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2308.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Micron Technology(MU) FY2026 Q3 財報,2026-06-24,2026-06-25,Micron Technology 發布季度財報（FY2026 Q3，Mar-May 2026）,https://finance.yahoo.com/quote/MU/financials/,https://finance.yahoo.com/calendar/earnings?symbol=MU,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,光寶科(2301) 2026 Q1 法說會,2026-06-23,2026-06-23,光寶科（2301）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,群聯(8299) 2026 Q1 法說會,2026-06-12,2026-06-12,群聯（8299）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Oracle Corporation(ORCL) FY2026 Q4 財報,2026-06-10,2026-06-10,Oracle Corporation 發布季度財報（FY2026 Q4，Mar-May 2026）,https://finance.yahoo.com/quote/ORCL/financials/,https://finance.yahoo.com/calendar/earnings?symbol=ORCL,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,英業達(2356) 2026 Q1 法說會,2026-06-09,2026-06-09,英業達（2356）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,仁寶(2324) 2026 Q1 法說會,2026-06-09,2026-06-09,仁寶（2324）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,鴻海(2317) 2026 Q1 法說會,2026-06-09,2026-06-09,鴻海（2317）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,義隆(2458) 2026 Q1 法說會,2026-06-08,2026-06-08,義隆（2458）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,聯電(2303) 2026 Q1 法說會,2026-06-05,2026-06-05,聯電（2303）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,廣達(2382) 2026 Q1 法說會,2026-06-05,2026-06-05,廣達（2382）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,和碩(4938) 2026 Q1 法說會,2026-06-05,2026-06-05,和碩（4938）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,聯詠(3034) 2026 Q1 法說會,2026-06-05,2026-06-05,聯詠（3034）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,聯發科(2454) 2026 Q1 法說會,2026-06-04,2026-06-04,聯發科（2454）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,智原(3035) 2026 Q1 法說會,2026-06-04,2026-06-04,智原（3035）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,緯創(3231) 2026 Q1 法說會,2026-06-04,2026-06-04,緯創（3231）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,啟碁(6285) 2026 Q1 法說會,2026-06-03,2026-06-03,啟碁（6285）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Broadcom Inc.(AVGO) 2026 Q1 財報,2026-06-03,2026-06-03,Broadcom Inc. 發布季度財報,https://finance.yahoo.com/quote/AVGO/financials/,https://finance.yahoo.com/calendar/earnings?symbol=AVGO,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,瑞昱(2379) 2026 Q1 法說會,2026-06-01,2026-06-01,瑞昱（2379）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Hewlett Packard Enterprise Co.(HPE) 2026 Q1 財報,2026-06-01,2026-06-01,Hewlett Packard Enterprise Co. 發布季度財報,https://finance.yahoo.com/quote/HPE/financials/,https://finance.yahoo.com/calendar/earnings?symbol=HPE,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,台積電(2330) 2026 Q1 法說會,2026-05-29,2026-05-29,台積電（2330）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,台達電(2308) 2026 Q1 法說會,2026-05-29,2026-05-29,台達電（2308）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,鴻準(2354) 2026 Q1 法說會,2026-05-29,2026-05-29,鴻準（2354）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,台股,國泰金(2882) 2026 Q1 財報,2026-05-29,2026-05-29,國泰金 發布季度財報,https://finance.yahoo.com/quote/2882.TW/financials/,https://finance.yahoo.com/calendar/earnings?symbol=2882.TW,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,緯穎(6669) 2026 Q1 法說會,2026-05-28,2026-05-28,緯穎（6669）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
財報公告,美股,Dell Technologies(DELL) 2026 Q1 財報,2026-05-28,2026-05-28,Dell Technologies 發布季度財報,https://finance.yahoo.com/quote/DELL/financials/,https://finance.yahoo.com/calendar/earnings?symbol=DELL,2026-06-03 06:04:14,2026-06-03 06:04:14
法說會,台股,中華電(2412) 2026 Q1 法說會,2026-05-27,2026-05-27,中華電（2412）舉辦法人說明會,https://mops.twse.com.tw/mops/#/web/t100sb07_1,,2026-06-03 06:04:14,2026-06-03 06:04:14
